iter	Passed	Remaining
416	2971	4154
417	2981	4151
418	2987	4141
419	2994	4134
420	2999	4124
421	3006	4117
422	3012	4108
423	3018	4099
424	3025	4093
425	3030	4083
426	3035	4073
427	3045	4070
428	3051	4060
429	3058	4054
430	3063	4045
431	3069	4036
432	3076	4028
433	3081	4019
434	3090	4013
435	3096	4005
436	3103	3998
437	3110	3990
438	3115	3981
439	3123	3974
440	3129	3966
441	3135	3958
442	3142	3951
443	3147	3942
444	3155	3935
445	3160	3925
446	3166	3917
447	3175	3912
448	3182	3905
449	3188	3897
450	3194	3888
451	3201	3880
452	3207	3872
453	3212	3863
454	3220	3857
455	3225	3848
456	3231	3839
457	3240	3834
458	3246	3825
459	3253	3819
460	3259	3811
461	3270	3808
462	3276	3799
463	3283	3793
464	3289	3785
465	3297	3778
466	3306	3773
467	3316	3769
468	3321	3760
469	3326	3751
470	3335	3746
471	3340	3736
472	3347	3729
473	3352	3720
474	3358	3711
475	3369	3708
476	3374	3699
477	3381	3692
478	3386	3683
479	3391	3674
480	3399	3667
481	3404	3658
482	3420	3661
483	3429	3656
484	3436	3648
485	3442	3640
486	3447	3631
487	3454	3624
488	3464	3620
489	3470	3612
490	3477	3605
491	3482	3595
492	3488	3587
493	3497	3582
494	3502	3573
495	3510	3567
496	3516	3558
497	3521	3550
498	3530	3544
499	3535	3535
500	3542	3528
501	3548	3519
502	3553	3510
503	3563	3506
504	3569	3498
505	3578	3493
506	3583	3484
507	3591	3478
508	3597	3470
509	3603	3462
510	3610	3455
511	3615	3446
512	3626	3442
513	3631	3433
514	3639	3427
515	3644	3418
516	3649	3409
517	3658	3403
518	3664	3396
519	3670	3388
520	3675	3379
521	3680	3370
522	3690	3365
523	3695	3357
524	3701	3349
525	3707	3340
526	3712	3332
527	3719	3325
528	3725	3317
529	3730	3308
530	3737	3300
531	3742	3292
532	3747	3283
533	3756	3278
534	3762	3269
535	3769	3262
536	3774	3254
537	3779	3245
538	3790	3241
539	3795	3233
540	3802	3225
541	3807	3217
542	3812	3208
543	3822	3204
544	3827	3195
545	3834	3188
546	3840	3180
547	3845	3171
548	3852	3165
549	3858	3157
550	3865	3149
551	3871	3141
552	3876	3133
553	3886	3128
554	3891	3120
555	3898	3112
556	3904	3105
557	3909	3096
558	3918	3091
559	3923	3082
560	3929	3074
561	3934	3066
562	3940	3058
563	3952	3055
564	3957	3047
565	3965	3040
566	3971	3033
567	3978	3025
568	3984	3018
569	3990	3010
570	3998	3004
571	4003	2995
572	4012	2989
573	4018	2982
574	4023	2974
575	4030	2966
576	4035	2958
577	4041	2950
578	4048	2943
579	4053	2935
580	4061	2928
581	4066	2920
582	4072	2913
583	4081	2907
584	4087	2899
585	4094	2892
586	4099	2884
587	4106	2877
588	4113	2870
589	4119	2862
590	4126	2855
591	4132	2847
592	4137	2839
593	4146	2834
594	4151	2826
595	4159	2819
596	4164	2811
597	4172	2805
598	4179	2798
599	4185	2790
600	4191	2783
601	4197	2775
602	4203	2767
603	4211	2761
604	4218	2753
605	4224	2746
606	4230	2739
607	4238	2732
608	4244	2725
609	4250	2717
610	4258	2711
611	4263	2703
612	4274	2698
613	4279	2690
614	4286	2683
615	4292	2675
616	4297	2667
617	4306	2661
618	4311	2653
619	4318	2647
620	4324	2639
621	4329	2631
622	4339	2626
623	4344	2617
624	4352	2611
625	4357	2603
626	4363	2595
627	4370	2588
628	4376	2581
629	4392	2579
630	4403	2574
631	4409	2567
632	4416	2560
633	4423	2553
634	4430	2546
635	4437	2539
636	4443	2532
637	4450	2525
638	4456	2517
639	4465	2512
640	4471	2504
641	4478	2497
642	4483	2489
643	4489	2481
644	4497	2475
645	4503	2467
646	4508	2459
647	4514	2452
648	4521	2445
649	4532	2440
650	4537	2432
651	4542	2424
652	4548	2417
653	4553	2409
654	4562	2403
655	4567	2395
656	4573	2387
657	4579	2380
658	4585	2372
659	4594	2367
660	4600	2359
661	4605	2351
662	4611	2343
663	4616	2336
664	4622	2328
665	4628	2321
666	4634	2313
667	4641	2306
668	4646	2298
669	4652	2291
670	4661	2285
671	4666	2277
672	4673	2270
673	4679	2263
674	4685	2255
675	4693	2249
676	4699	2241
677	4705	2234
678	4710	2227
679	4716	2219
680	4726	2213
681	4731	2206
682	4738	2199
683	4743	2191
684	4749	2183
685	4758	2178
686	4764	2170
687	4771	2163
688	4777	2156
689	4782	2148
690	4791	2142
691	4797	2135
692	4803	2128
693	4810	2120
694	4815	2113
695	4823	2106
696	4828	2099
697	4835	2092
698	4841	2084
699	4846	2077
700	4857	2071
701	4862	2064
702	4869	2057
703	4875	2049
704	4881	2042
705	4889	2036
706	4895	2028
707	4903	2022
708	4908	2014
709	4915	2007
710	4922	2001
711	4928	1993
712	4935	1986
713	4940	1979
714	4947	1972
715	4954	1965
716	4959	1957
717	4966	1950
718	4971	1942
719	4976	1935
720	4987	1929
721	4992	1922
722	4999	1915
723	5004	1907
724	5009	1900
725	5017	1893
726	5022	1886
727	5029	1879
728	5034	1871
729	5039	1864
730	5049	1858
731	5054	1850
732	5060	1843
733	5066	1836
734	5072	1828
735	5081	1822
736	5087	1815
737	5093	1808
738	5098	1800
739	5104	1793
740	5111	1786
741	5118	1779
742	5124	1772
743	5130	1765
744	5135	1757
745	5143	1751
746	5149	1744
747	5155	1736
748	5162	1730
749	5167	1722
750	5176	1716
751	5182	1709
752	5189	1702
753	5196	1695
754	5201	1688
755	5211	1681
756	5216	1674
757	5224	1668
758	5229	1660
759	5234	1653
760	5244	1647
761	5249	1639
762	5256	1632
763	5262	1625
764	5267	1618
765	5275	1611
766	5281	1604
767	5289	1598
768	5295	1590
769	5300	1583
770	5309	1577
771	5315	1569
772	5322	1563
773	5328	1555
774	5334	1548
