iter	RMSE
0	14.12310962
1	13.96523094
2	13.82459595
3	13.69322968
4	13.55779726
5	13.41166829
6	13.27596517
7	13.15324579
8	13.04941043
9	12.94390563
10	12.85669484
11	12.76540789
12	12.68393849
13	12.5946046
14	12.52009358
15	12.43861352
16	12.37960195
17	12.29868173
18	12.24737355
19	12.18749839
20	12.12787958
21	12.07694642
22	12.03005101
23	11.97488419
24	11.92480705
25	11.86816345
26	11.82593065
27	11.76425043
28	11.71681716
29	11.6794778
30	11.6260076
31	11.57474623
32	11.53579094
33	11.49984092
34	11.46607165
35	11.44234674
36	11.40880923
37	11.37961386
38	11.35186169
39	11.32563915
40	11.29573089
41	11.26792761
42	11.24303778
43	11.21542818
44	11.18697904
45	11.15754104
46	11.12997774
47	11.10690643
48	11.0823951
49	11.06076441
50	11.03473982
51	11.01645761
52	10.99449745
53	10.97390192
54	10.94910222
55	10.9275225
56	10.90786723
57	10.88603979
58	10.8681014
59	10.84887679
60	10.8268219
61	10.79937227
62	10.78409741
63	10.76611728
64	10.75307057
65	10.7358308
66	10.71996707
67	10.70784094
68	10.6942457
69	10.67497907
70	10.65826042
71	10.64297525
72	10.62553785
73	10.60972031
74	10.59814879
75	10.58350606
76	10.57201322
77	10.55860502
78	10.54567067
79	10.53122242
80	10.51913044
81	10.50437288
82	10.49197035
83	10.47800338
84	10.46671325
85	10.45448149
86	10.44317646
87	10.43286085
88	10.42155325
89	10.40869023
90	10.38987929
91	10.37389894
92	10.35796369
93	10.34689039
94	10.33511546
95	10.32548517
96	10.31545975
97	10.30604681
98	10.29356773
99	10.28238719
100	10.27292762
101	10.26418495
102	10.25509304
103	10.24364822
104	10.23316297
105	10.22326439
106	10.21392426
107	10.20203722
108	10.1933473
109	10.1838016
110	10.17545195
111	10.16388896
112	10.15513607
113	10.14584105
114	10.13384973
115	10.12534693
116	10.11584087
117	10.10827633
118	10.09982215
119	10.09381996
120	10.08476007
121	10.07648644
122	10.06965107
123	10.0608925
124	10.05504065
125	10.04773632
126	10.04085568
127	10.03532245
128	10.0241292
129	10.01788253
130	10.01206217
131	10.00002487
132	9.995491378
133	9.989388235
134	9.980814462
135	9.967862559
136	9.960912434
137	9.953837864
138	9.943048202
139	9.934476593
140	9.925571041
141	9.916902148
142	9.906220219
143	9.900892129
144	9.892333724
145	9.882852064
146	9.876046288
147	9.869526148
148	9.863863865
149	9.858325187
150	9.85318884
151	9.843489266
152	9.835689102
153	9.830841301
154	9.825391064
155	9.818196132
156	9.81256266
157	9.805066037
158	9.797132802
159	9.789086555
160	9.784584362
161	9.777546409
162	9.771657078
163	9.764750361
164	9.756367087
165	9.748097416
166	9.739820028
167	9.732748837
168	9.725655543
169	9.719048881
170	9.714989891
171	9.706291556
172	9.700452096
173	9.695847723
174	9.689636685
175	9.681192929
176	9.672564294
177	9.663749905
178	9.655320311
179	9.646898557
180	9.636397355
181	9.629130245
182	9.618917694
183	9.610458936
184	9.602627348
185	9.594046403
186	9.58687426
187	9.580387505
188	9.574300993
189	9.5676494
190	9.562459772
191	9.552935925
192	9.544516813
193	9.538276652
194	9.531847034
195	9.524608921
196	9.516959292
197	9.505774725
198	9.501094748
199	9.496238068
200	9.489088153
201	9.480949562
202	9.471450514
203	9.465418195
204	9.458498226
205	9.451464728
206	9.444002173
207	9.437246551
208	9.430346583
209	9.422932846
210	9.417327177
211	9.413101147
212	9.405618049
213	9.399325826
214	9.393377635
215	9.386586172
216	9.381515963
217	9.374368481
218	9.366711994
219	9.357827292
220	9.35274474
221	9.34583879
222	9.33617646
223	9.330654727
224	9.322349729
225	9.315641006
226	9.308611754
227	9.302800666
228	9.295694741
229	9.289740053
230	9.280919073
231	9.2734949
232	9.266930788
233	9.259669361
234	9.252308917
235	9.248828717
236	9.243423777
237	9.237237605
238	9.22818446
239	9.222291983
240	9.213226518
241	9.203667153
242	9.195673786
243	9.188199609
244	9.181498695
245	9.176040442
246	9.16898829
247	9.162184239
248	9.156542941
249	9.150885958
250	9.144715521
251	9.137977674
252	9.1310239
253	9.12528087
254	9.118883061
255	9.114494283
256	9.107811365
257	9.103415877
258	9.097169072
259	9.094071639
260	9.086286651
261	9.081778372
262	9.075300984
263	9.069418471
264	9.063349099
265	9.057227936
266	9.049620942
267	9.045262558
268	9.038912647
269	9.033149069
270	9.024853537
271	9.016476585
272	9.011948934
273	9.007429064
274	9.00470656
275	9.001332266
276	8.994235699
277	8.988961019
278	8.984007591
279	8.978123037
280	8.972843998
281	8.969269969
282	8.961906913
283	8.955117471
284	8.947289003
285	8.940580533
286	8.933742665
287	8.92969566
288	8.923648344
289	8.919022372
290	8.915242906
291	8.909381939
292	8.903402225
293	8.898610337
294	8.893580017
295	8.88828938
296	8.883851178
297	8.876622409
298	8.871646186
299	8.863717049
300	8.85645978
301	8.851916111
302	8.845709896
303	8.83865835
304	8.835669841
305	8.831461491
306	8.824880094
307	8.816815423
308	8.812326235
309	8.809456076
310	8.807596733
311	8.801311899
312	8.796650887
313	8.791840757
314	8.787350206
315	8.781068959
316	8.776704248
317	8.771647266
318	8.767869173
319	8.76339118
320	8.758906674
321	8.752960391
322	8.746650213
323	8.740214631
324	8.733518891
325	8.729247913
326	8.722258325
327	8.71777013
328	8.711741307
329	8.707511555
330	8.702756871
331	8.697192039
332	8.691834207
333	8.685261683
334	8.679659539
335	8.672601698
336	8.665339743
337	8.660649433
338	8.653639709
339	8.647352809
340	8.640753395
341	8.636024058
342	8.629928615
343	8.62578243
344	8.621228625
345	8.616614293
346	8.610889594
347	8.606116747
348	8.600906623
349	8.59340502
350	8.588613467
351	8.583068531
352	8.579915928
353	8.573507159
354	8.567193
355	8.562315755
356	8.556770986
357	8.549078257
358	8.542156585
359	8.535887209
360	8.531408348
361	8.525603768
362	8.522038209
363	8.51822836
364	8.513203769
365	8.505903296
366	8.499584229
367	8.492526572
368	8.489784834
369	8.483701199
370	8.479505829
371	8.475736903
372	8.470493647
373	8.466137748
374	8.46289735
375	8.459107394
376	8.45508591
377	8.452382187
378	8.449459156
379	8.448153246
380	8.445102813
381	8.440912108
382	8.4351727
383	8.432028211
384	8.427605007
385	8.42326242
386	8.420309111
387	8.416835522
388	8.411777856
389	8.404480954
390	8.401029465
391	8.397585423
392	8.394505084
393	8.391160641
394	8.388128654
395	8.383684095
396	8.38007307
397	8.374424277
398	8.370838611
399	8.363506854
400	8.359702761
401	8.354348732
402	8.350397709
403	8.34691013
404	8.343014182
405	8.339147492
406	8.33661071
407	8.331966809
408	8.328099838
409	8.323005878
410	8.316365221
411	8.311483677
412	8.306494452
413	8.299192138
414	8.292989784
415	8.288970628
416	8.285129734
417	8.27936577
418	8.275141797
419	8.274912307
420	8.270804216
421	8.26533724
422	8.265039468
423	8.260923451
424	8.254209159
425	8.251710897
426	8.24767845
427	8.244605803
428	8.238532564
429	8.23826346
430	8.237870503
431	8.233235799
432	8.228721206
433	8.223986489
434	8.220205405
435	8.215407478
436	8.211924008
437	8.20878811
438	8.202827273
439	8.199311278
440	8.195146821
441	8.191893762
442	8.18622483
443	8.183039904
444	8.176129352
445	8.172200535
446	8.167343005
447	8.161482299
448	8.157857987
449	8.150679069
450	8.145013898
451	8.139575061
452	8.136098438
453	8.129588372
454	8.12631762
455	8.123300994
456	8.115334503
457	8.10995776
458	8.102808098
459	8.096072548
460	8.091257606
461	8.084659127
462	8.081441436
463	8.07663156
464	8.073221152
465	8.067520278
466	8.063045005
467	8.056066463
468	8.051785106
469	8.049549991
470	8.044273045
471	8.041856397
472	8.037307707
473	8.032913064
474	8.027925177
475	8.024024384
476	8.019949673
477	8.015105583
478	8.012735842
479	8.008523311
480	8.003150239
481	7.999057917
482	7.994005195
483	7.989465799
484	7.98584682
485	7.984307081
486	7.981158692
487	7.977021458
488	7.971246744
489	7.966812111
490	7.963630313
491	7.961630341
492	7.957862115
493	7.955012616
494	7.951634037
495	7.947350408
496	7.943883923
497	7.939366372
498	7.934171745
499	7.933061665
